Speaker,Initials,Order,Season,Episode,SeriesNumber,EpisodeCount,EpisodeTotal,EpisodePct
Kevin,KM,11,2,9,15,12,344,0.034883721
Kevin,KM,11,2,10,16,16,337,0.047477745
Kevin,KM,11,2,11,17,0,286,0
Kevin,KM,11,2,12,18,2,385,0.005194805
Kevin,KM,11,2,13,19,8,299,0.026755853
Kevin,KM,11,2,14,20,8,324,0.024691358
Kevin,KM,11,2,15,21,4,298,0.013422819
Kevin,KM,11,2,16,22,8,203,0.039408867
Kevin,KM,11,2,17,23,4,252,0.015873016
Kevin,KM,11,2,18,24,7,245,0.028571429
Kevin,KM,11,2,19,25,15,262,0.057251908
Kevin,KM,11,2,20,26,7,277,0.025270758
Kevin,KM,11,2,21,27,5,286,0.017482517
Kevin,KM,11,2,22,28,16,367,0.04359673
Kevin,KM,11,3,1,29,1,171,0.005847953
Kevin,KM,11,3,2,30,3,288,0.010416667
Kevin,KM,11,3,3,31,5,275,0.018181818
Kevin,KM,11,3,4,32,9,290,0.031034483
Kevin,KM,11,3,5,33,4,292,0.01369863
Kevin,KM,11,3,6,34,9,237,0.037974684
Kevin,KM,11,3,7,35,12,240,0.05
Kevin,KM,11,3,8,36,21,514,0.040856031
Kevin,KM,11,3,9,37,13,165,0.078787879
Kevin,KM,11,3,10,38,15,468,0.032051282
Kevin,KM,11,3,11,39,10,303,0.0330033
Kevin,KM,11,3,12,40,7,228,0.030701754
Kevin,KM,11,3,13,41,3,190,0.015789474
Kevin,KM,11,3,14,42,3,188,0.015957447
Kevin,KM,11,3,15,43,4,152,0.026315789
Kevin,KM,11,3,16,44,7,220,0.031818182
Kevin,KM,11,3,17,45,12,283,0.042402827
Kevin,KM,11,3,18,46,8,339,0.02359882
Kevin,KM,11,3,19,47,22,360,0.061111111
Kevin,KM,11,3,20,48,10,345,0.028985507
Kevin,KM,11,3,21,49,11,306,0.035947712
Kevin,KM,11,3,22,50,6,339,0.017699115
Kevin,KM,11,3,23,51,17,449,0.037861915
Kevin,KM,11,4,1,52,21,540,0.038888889
Kevin,KM,11,4,2,53,16,585,0.027350427
Kevin,KM,11,4,3,54,17,552,0.030797101
Kevin,KM,11,4,4,55,12,505,0.023762376
Kevin,KM,11,4,5,56,9,258,0.034883721
Kevin,KM,11,4,6,57,2,294,0.006802721
Kevin,KM,11,4,7,58,2,273,0.007326007
Kevin,KM,11,4,8,59,4,251,0.015936255
Kevin,KM,11,4,9,60,0,316,0
Kevin,KM,11,4,10,61,20,254,0.078740157
Kevin,KM,11,4,11,62,4,335,0.011940299
Kevin,KM,11,4,12,63,8,308,0.025974026
Kevin,KM,11,4,13,64,9,191,0.047120419
Kevin,KM,11,4,14,65,23,607,0.037891269
Kevin,KM,11,5,1,66,14,551,0.025408348
Kevin,KM,11,5,2,67,13,256,0.05078125
Kevin,KM,11,5,3,68,12,311,0.038585209
Kevin,KM,11,5,4,69,5,290,0.017241379
Kevin,KM,11,5,5,70,5,430,0.011627907
Kevin,KM,11,5,6,71,3,400,0.0075
Kevin,KM,11,5,7,72,2,287,0.006968641
Kevin,KM,11,5,8,73,2,262,0.007633588
Kevin,KM,11,5,9,74,3,304,0.009868421
Kevin,KM,11,5,10,75,3,234,0.012820513
Kevin,KM,11,5,11,76,8,281,0.028469751
Kevin,KM,11,5,12,77,14,223,0.062780269
Kevin,KM,11,5,13,78,8,374,0.021390374
Kevin,KM,11,5,14,79,0,200,0
Kevin,KM,11,5,15,80,18,236,0.076271186
Kevin,KM,11,5,16,81,15,250,0.06
Kevin,KM,11,5,17,82,10,282,0.035460993
Kevin,KM,11,5,18,83,5,206,0.024271845
Kevin,KM,11,5,19,84,13,231,0.056277056
Kevin,KM,11,5,20,85,10,244,0.040983607
Kevin,KM,11,5,21,86,2,232,0.00862069
Kevin,KM,11,5,22,87,1,274,0.003649635
Kevin,KM,11,5,23,88,1,199,0.005025126
Kevin,KM,11,5,24,89,1,319,0.003134796
Kevin,KM,11,5,25,90,15,276,0.054347826
Kevin,KM,11,5,26,91,5,218,0.02293578
Kevin,KM,11,6,1,92,14,313,0.044728435
Kevin,KM,11,6,2,93,1,231,0.004329004
Kevin,KM,11,6,3,94,14,297,0.047138047
Kevin,KM,11,6,4,95,30,481,0.062370062
Kevin,KM,11,6,5,96,17,306,0.055555556
Kevin,KM,11,6,6,97,6,314,0.01910828
Kevin,KM,11,6,7,98,10,305,0.032786885
Kevin,KM,11,6,8,99,6,328,0.018292683
Kevin,KM,11,6,9,100,11,239,0.046025105
Kevin,KM,11,6,10,101,4,218,0.018348624
Kevin,KM,11,6,11,102,6,224,0.026785714
Kevin,KM,11,6,12,103,13,302,0.043046358
Kevin,KM,11,6,13,104,2,91,0.021978022
Kevin,KM,11,6,14,105,1,195,0.005128205
Kevin,KM,11,6,15,106,5,249,0.020080321
Kevin,KM,11,6,16,107,29,574,0.050522648
Kevin,KM,11,6,17,108,3,202,0.014851485
Kevin,KM,11,6,18,109,8,280,0.028571429
Kevin,KM,11,6,19,110,7,295,0.023728814
Kevin,KM,11,6,20,111,20,260,0.076923077
Kevin,KM,11,6,21,112,8,286,0.027972028
Kevin,KM,11,6,22,113,0,267,0
Kevin,KM,11,6,23,114,6,297,0.02020202
Kevin,KM,11,6,24,115,7,184,0.038043478
Kevin,KM,11,7,1,116,5,211,0.023696682
Kevin,KM,11,7,2,117,0,252,0
Kevin,KM,11,7,3,118,0,203,0
Kevin,KM,11,7,4,119,10,274,0.03649635
Kevin,KM,11,7,5,120,12,341,0.035190616
Kevin,KM,11,7,6,121,19,250,0.076
Kevin,KM,11,7,7,122,4,236,0.016949153
Kevin,KM,11,7,8,123,9,268,0.03358209
Kevin,KM,11,7,9,124,9,273,0.032967033
Kevin,KM,11,7,10,125,8,289,0.027681661
Kevin,KM,11,7,11,126,15,552,0.027173913
Kevin,KM,11,7,12,127,19,307,0.061889251
Kevin,KM,11,7,13,128,9,249,0.036144578
Kevin,KM,11,7,14,129,7,282,0.024822695
Kevin,KM,11,7,15,130,13,350,0.037142857
Kevin,KM,11,7,16,131,2,70,0.028571429
Kevin,KM,11,7,17,132,13,271,0.04797048
Kevin,KM,11,7,18,133,18,288,0.0625
Kevin,KM,11,7,19,134,4,160,0.025
Kevin,KM,11,7,20,135,6,195,0.030769231
Kevin,KM,11,7,21,136,11,298,0.036912752
Kevin,KM,11,7,22,137,13,166,0.078313253
Kevin,KM,11,7,23,138,20,239,0.083682008
Kevin,KM,11,7,24,139,14,435,0.032183908
Kevin,KM,11,8,1,140,10,270,0.037037037
Kevin,KM,11,8,2,141,24,306,0.078431373
Kevin,KM,11,8,3,142,22,308,0.071428571
Kevin,KM,11,8,4,143,6,230,0.026086957
Kevin,KM,11,8,5,144,9,270,0.033333333
Kevin,KM,11,8,6,145,10,312,0.032051282
Kevin,KM,11,8,7,146,16,300,0.053333333
Kevin,KM,11,8,8,147,18,266,0.067669173
Kevin,KM,11,8,9,148,2,248,0.008064516
Kevin,KM,11,8,10,149,10,313,0.031948882
Kevin,KM,11,8,11,150,19,224,0.084821429
Kevin,KM,11,8,12,151,11,285,0.038596491
Kevin,KM,11,8,13,152,12,342,0.035087719
Kevin,KM,11,8,14,153,5,260,0.019230769
Kevin,KM,11,8,15,154,2,211,0.009478673
Kevin,KM,11,8,16,155,4,278,0.014388489
Kevin,KM,11,8,17,156,8,226,0.03539823
Kevin,KM,11,8,18,157,19,246,0.077235772
Kevin,KM,11,8,19,158,8,238,0.033613445
Kevin,KM,11,8,20,159,4,250,0.016
Kevin,KM,11,8,21,160,9,289,0.031141869
Kevin,KM,11,8,22,161,18,213,0.084507042
Kevin,KM,11,8,23,162,1,239,0.0041841
Kevin,KM,11,8,24,163,3,241,0.012448133
Kevin,KM,11,9,1,164,7,220,0.031818182
Kevin,KM,11,9,2,165,10,293,0.034129693
Kevin,KM,11,9,3,166,3,242,0.012396694
Kevin,KM,11,9,4,167,18,302,0.059602649
Kevin,KM,11,9,5,168,2,240,0.008333333
Kevin,KM,11,9,6,169,25,255,0.098039216
Kevin,KM,11,9,7,170,3,263,0.011406844
Kevin,KM,11,9,8,171,16,282,0.056737589
Kevin,KM,11,9,9,172,13,287,0.045296167
Kevin,KM,11,9,10,173,14,225,0.062222222
Kevin,KM,11,9,11,174,19,228,0.083333333
Kevin,KM,11,9,12,175,10,249,0.040160643
Kevin,KM,11,9,13,176,1,210,0.004761905
Kevin,KM,11,9,14,177,6,221,0.027149321
Kevin,KM,11,9,15,178,6,235,0.025531915
Kevin,KM,11,9,16,179,5,423,0.011820331
Kevin,KM,11,9,17,180,12,142,0.084507042
Kevin,KM,11,9,18,181,9,270,0.033333333
Kevin,KM,11,9,19,182,5,246,0.020325203
Kevin,KM,11,9,20,183,10,195,0.051282051
Kevin,KM,11,9,21,184,13,333,0.039039039
Kevin,KM,11,9,22,185,30,444,0.067567568
Kevin,KM,11,9,23,186,31,432,0.071759259
Meredith,MP,12,1,1,1,0,262,0
Meredith,MP,12,1,2,2,0,245,0
Meredith,MP,12,1,3,3,3,313,0.009584665
Meredith,MP,12,1,4,4,15,354,0.042372881
Meredith,MP,12,1,5,5,0,285,0
Meredith,MP,12,1,6,6,0,360,0
Meredith,MP,12,2,1,7,0,381,0
Meredith,MP,12,2,2,8,1,289,0.003460208
Meredith,MP,12,2,3,9,1,375,0.002666667
Meredith,MP,12,2,4,10,4,370,0.010810811
Meredith,MP,12,2,5,11,0,325,0
Meredith,MP,12,2,6,12,1,310,0.003225806
Meredith,MP,12,2,7,13,0,285,0
Meredith,MP,12,2,8,14,0,401,0
Meredith,MP,12,2,9,15,0,344,0
Meredith,MP,12,2,10,16,13,337,0.038575668
Meredith,MP,12,2,11,17,3,286,0.01048951
Meredith,MP,12,2,12,18,1,385,0.002597403
Meredith,MP,12,2,13,19,0,299,0
Meredith,MP,12,2,14,20,0,324,0
Meredith,MP,12,2,15,21,5,298,0.016778523
Meredith,MP,12,2,16,22,3,203,0.014778325
Meredith,MP,12,2,17,23,1,252,0.003968254
Meredith,MP,12,2,18,24,2,245,0.008163265
Meredith,MP,12,2,19,25,1,262,0.003816794
Meredith,MP,12,2,20,26,2,277,0.007220217
Meredith,MP,12,2,21,27,1,286,0.003496503
Meredith,MP,12,2,22,28,6,367,0.016348774
Meredith,MP,12,3,1,29,2,171,0.011695906
Meredith,MP,12,3,2,30,1,288,0.003472222
Meredith,MP,12,3,3,31,0,275,0
